county,year,pm25_mean
Mariposa County,2007,8.291116173967398
Mariposa County,2008,9.579059593817213
Mariposa County,2009,8.815999426928768
Mariposa County,2010,7.400909994070411
Mariposa County,2011,8.210610247032877
Mariposa County,2012,6.82507652550601
Mariposa County,2013,8.157407625556164
Mariposa County,2014,7.620532876697535
Mendocino County,2001,7.384450804520548
Mendocino County,2002,8.497355086849316
Mendocino County,2003,8.939177217534246
Mendocino County,2004,7.264788321174863
Mendocino County,2005,6.718292605068493
Mendocino County,2006,7.919260940547946
Mendocino County,2007,5.382249874657534
Mendocino County,2008,9.364926607513661
Mendocino County,2009,6.267468813561644
Mendocino County,2010,5.023537533150685
Mendocino County,2011,5.621887892465754
Mendocino County,2012,4.920465819672131
Mendocino County,2013,5.810467965753424
Mendocino County,2014,6.980445987671232
Merced County,2001,13.812224503624932
Merced County,2002,15.518020853465206
Merced County,2003,13.72858017338548
Merced County,2004,12.91397757879399
Merced County,2005,12.668017491526301
Merced County,2006,13.079777941202194
Merced County,2007,13.113869093446576
Merced County,2008,13.574147270336614
Merced County,2009,11.829438529942191
Merced County,2010,10.145094627275617
Merced County,2011,10.399814495878903
Merced County,2012,9.462218250250546
Merced County,2013,11.870428140890958
Merced County,2014,10.719101706463288
Modoc County,2001,8.016400700684931
Modoc County,2002,9.897091787671233
Modoc County,2003,7.164934898630137
Modoc County,2004,7.338797226092896
Modoc County,2005,8.01809993630137
Modoc County,2006,7.147872621917808
Modoc County,2007,5.449045632191781
Modoc County,2008,7.798712221311475
Modoc County,2009,7.222227213013698
Modoc County,2010,5.772395738356164
Modoc County,2011,6.346213906164384
Modoc County,2012,5.808197943989071
Modoc County,2013,6.068206472602739
Modoc County,2014,5.969496575342466
Mono County,2001,8.53210186302274
Mono County,2002,8.733808105940273
Mono County,2003,8.172993596354521
Mono County,2004,7.879422931695902
Mono County,2005,7.972882633800274
Mono County,2006,7.839358354331506
Mono County,2007,5.1942324392654795
Mono County,2008,6.691426992706558
Mono County,2009,7.053116369865205
Mono County,2010,5.927189413700548
Mono County,2011,6.5922695926942465
Mono County,2012,4.959162632055465
Mono County,2013,5.6075952511498635
Mono County,2014,5.453063470319178
Monterey County,2001,9.990571174009863
Monterey County,2002,11.002385376910958
Monterey County,2003,10.420957422971233
Monterey County,2004,9.864220865528415
Monterey County,2005,9.294746856009588
Monterey County,2006,9.732655967401918
Monterey County,2007,8.497956121789315
Monterey County,2008,9.823181262266122
Monterey County,2009,8.773999658598903
Monterey County,2010,7.2745237600526025
Monterey County,2011,7.927943517605205
Monterey County,2012,6.777969921850819
Monterey County,2013,8.06251169243726
Monterey County,2014,5.698836879072055
Napa County,2001,10.404230703904108
Napa County,2002,11.415743333630138
Napa County,2003,10.883460613424658
Napa County,2004,9.674364323770492
Napa County,2005,8.850263591917809
Napa County,2006,9.870746636369862
Napa County,2007,7.076996757876713
Napa County,2008,10.362371785587431
Napa County,2009,8.02331337431507
Napa County,2010,6.7434658926712325
Napa County,2011,7.066941990410959
Napa County,2012,6.425852553961748
Napa County,2013,7.790393237671233
Napa County,2014,9.288279
Nevada County,2001,9.688299431643836
Nevada County,2002,10.979836414246575
Nevada County,2003,9.330299955479452
Nevada County,2004,9.464122126912569
Nevada County,2005,9.414522570547945
Nevada County,2006,9.585492616164384
Nevada County,2007,7.86661957890411
Nevada County,2008,10.847155595628415
Nevada County,2009,7.5088948060273975
Nevada County,2010,6.457955893150685
Nevada County,2011,6.7989130431506855
Nevada County,2012,6.058637389480874
Nevada County,2013,7.670166119178082
Nevada County,2014,6.815175595890412
Orange County,2001,21.379236347678905
Orange County,2002,19.328604496712877
Orange County,2003,17.69618243792274
Orange County,2004,16.69606345856366
Orange County,2005,15.319426235686576
Orange County,2006,14.543912471679453
Orange County,2007,14.091635565675343
Orange County,2008,13.638055050812294
Orange County,2009,12.714219091072875
Orange County,2010,10.326602314935617
Orange County,2011,11.03300603243178
